"SNO","group_name","label_name","label_value_in_english","label_value_in_entered_language"
"710","","max-upload-size","Max {{size}}",""
"711","","send","Send",""
"712","","please-wait-setting-company","Please Wait. We are setting database for company. It can take up to 2 min.",""
"713","","Basic","Basic",""
"714","","reset-password-message","Your new password must be different from previously used passwords",""
"715","","deviationSelf-edit","Deviation Self Edit",""
"716","","remove-all","Remove All",""
"717","","personal-number","Personal Number",""
"718","","event-description","Event Description",""
"719","","special-information","Special Information",""
"720","","confirm-password","Confirm Password",""
"721","","deviationSelf-delete","Deviation Self Delete",""
"722","","cancel","Cancel",""
"723","","persons-implementation","Patient IP",""
"724","","immediate-action","Immediate Action",""
"725","","Advance","Advance",""
"726","","role","Role",""
"727","","deviationPatients-browse","Deviation Patients Browse",""
"728","","file-uploaded","File Uploaded Successfully",""
"729","","request-for-approval","Request For Approval",""
"730","","probable-cause-of-the-incident","Probable Cause Of The Incident",""
"731","","statistics","Statistics",""
"732","","contact","Contact",""
"733","","deviationPatients-read","Deviation Patients Read",""
"734","","file-upload-failed","File Upload Failed",""
"735","","manual-approval","Manual Approval",""
"736","","today-journal","Today's Journal",""
"737","","actions","Actions",""
"738","","enter-price","Enter Price",""
"739","","deviationPatients-add","Deviation Patients Add",""
"740","","is-gaurdian","Guardian",""
"741","","request-sent","Request Sent",""
"742","","today-deviation","Today's Deviations",""
"743","","Table","Table",""
"744","","price","Price",""
"745","","deviationPatients-edit","Deviation Patients Edit",""
"746","","users","Users",""
"747","","bank-id","Bank Details",""
"748","","no-action-performed","No Action Performed",""
"749","","Reactstrap Tables","Reactstrap Tables",""
"750","","package_id","Package",""
"751","","deviationPatients-delete","Deviation Patients Delete",""
"752","","attached-fallowups","Attached Followups",""
"753","","assign-by","Assign By",""
"754","","no-activity-today","No Activities For Today!",""
"755","","React Tables","React Tables",""
"756","","personal_number","Personal Number",""
"757","","deviationEmployees-browse","Deviation Employee Browse",""
"758","","view-fallowups","View Followups",""
"759","","detail-mode","View More",""
"760","","showing-upcoming-activities","Showing Upcoming Activities",""
"761","","DataTable","DataTable",""
"762","","organization_number","Organization Number",""
"763","","deviationEmployees-read","Deviation Employee Read",""
"764","","repeat-reminder","Reminders",""
"765","","user-type","User Type",""
"766","","overall-chart","Overall Chart",""
"767","","Advanced","Advanced",""
"768","","country_id","Country",""
"769","","deviationEmployees-add","Deviation Employee Add",""
"770","","repeat-reminder-details","Add Reminders",""
"771","","company-type","Company Type",""
"772","","dashboard-menu","Dashboard",""
"773","","create-journal","Create Journal",""
"774","","zipcode","Zipcode",""
"775","","deviationEmployees-edit","Deviation Employee Edit",""
"776","","url-attachments","Url & Attachments",""
"777","","iP","IP",""
"778","","activity-menu","Activities",""
"779","","Mail Template","Mail Template",""
"780","","full-address","Full Address",""
"781","","deviationEmployees-delete","Deviation Employee Delete",""
"782","","url-attachments-details","Add URLs & Attachments",""
"783","","agency-details","Agency Details",""
"784","","journal-menu","Journals",""
"785","","Page Layouts","Page Layouts",""
"786","","postal-code","Postal Area",""
"787","","scheduleSelf-browse","Schedule Self Browse",""
"788","","clear","Clear",""
"789","","r-description","R Description",""
"790","","deviation-menu","Deviations",""
"791","","Collapsed Menu","Collapsed Menu",""
"792","","address-details","Street Name",""
"793","","scheduleSelf-read","Schedule Self Read",""
"794","","repeat-activity","Repeat Activity",""
"795","","r","R",""
"796","","user-management-menu","User Management",""
"797","","Layout Boxed","Layout Boxed",""
"798","","gender","Gender",""
"799","","scheduleSelf-add","Schedule Self Add",""
"800","","do-you-want-to-repeat-this-activity","Do you want to repeat this activity?",""
"801","","priority","Priority",""
"802","","master-menu","Masters",""
"803","","Without Menu","Without Menu",""
"804","","male","Male",""
"805","","scheduleSelf-edit","Schedule Self Edit",""
"806","","assign-activity","Assign Activity",""
"807","","request-ip","Request IP",""
"808","","setting-menu","Settings",""
"809","","Layout Empty","Layout Empty",""
"810","","female","Female",""
"811","","scheduleSelf-delete","Schedule Self Delete",""
"812","","mark-as-not-applicable","Mark Not Applicable",""
"813","","do-you-want-to-approve-this","Do You Want To Approve This",""
"814","","report-feedback-menu","Reports & Feedbacks",""
"815","","Layout Blank","Layout Blank",""
"816","","licence_end_date","License End Date",""
"817","","scheduleEmployees-browse","Schedule Employee Browse",""
"818","","mark-as-complete","Mark As Complete",""
"819","","approve-this","Approve",""
"820","","message-menu","Notifications & Chats",""
"821","","Components","Components",""
"822","","joining_date","Joining Date",""
"823","","scheduleEmployees-read","Schedule Employee Read",""
"824","","mark-as-completed","Mark As Complete",""
"825","","approved","Approved",""
"826","","bookmarks","Bookmarks",""
"827","","Alerts","Alerts",""
"828","","substitute","Substitute",""
"829","","scheduleEmployees-add","Schedule Employee Add",""
"830","","add-new","Add New",""
"831","","not-approved","Not Approve",""
"832","","employee-dashboard","Employee Dashboard",""
"833","","edit/strike","Edit/Strike",""
"834","","regular","Regular",""
"835","","scheduleEmployees-edit","Schedule Employee Edit",""
"836","","add-address","Add Address",""
"837","","reason","Reason",""
"838","","bankId","BankId Charges",""
"839","","change-event-date","Change event date",""
"840","","seasonal","Seasonal",""
"841","","scheduleEmployees-delete","Schedule Employee Delete",""
"842","","add-address-details","Add Address Details",""
"843","","requested-to","Requested To",""
"844","","choose-color","Choose Color",""
"845","","Buttons","Buttons",""
"846","","is_file_required","File Required",""
"847","","schedulePatients-browse","Schedule Patient Browse",""
"848","","patient","Patient",""
"849","","approve-type","Approve Type",""
"850","","another-activity","Another Activity",""
"851","","Breadcrumbs","Breadcrumbs",""
"852","","licence_key","License Key",""
"853","","schedulePatients-read","Schedule Patient Read",""
"854","","employee","Employee",""
"855","","by-bank-id","By Bank Id",""
"856","","another-activity-contact-person","Another Activity Contact Person",""
"857","","Carousel","Carousel",""
"858","","user_color","User Color",""
"859","","schedulePatients-add","Schedule Patient Add",""
"860","","add-details","Add Details",""
"861","","digital","Digital",""
"862","","add-more-decision","Add More Decision",""
"863","","Collapse","Collapse",""
"864","","manage-roles","Manage Roles & Permissions",""
"865","","schedulePatients-edit","Schedule Patient Edit",""
"866","","new-date","New Date",""
"867","","manual-or-bank-id","Manual Or Bank Id",""
"868","","decision-date","Decision Date",""
"869","","Dropdowns","Dropdown",""
"870","","request-log","Request Log",""
"871","","schedulePatients-delete","Schedule Patient Delete",""
"872","","followup-date-time","Follow Up Date & Time",""
"873","","print","Print",""
"874","","total-branch","Total Branch",""
"875","","List Group","List Group",""
"876","","requests","Requests",""
"877","","patientFamily-browse","Patient Family Browse",""
"878","","remove","Remove",""
"879","","ip-name","IP Name",""
"880","","registration-details","Registration Details",""
"881","","Modals","Modals",""
"882","","notifications","Notification",""
"883","","patientFamily-read","Patient Family Read",""
"884","","alloted_hours","Alloted Hours",""
"885","","followups-details","FollowUp Details",""
"886","","registration-date","Registration Date",""
"887","","Pagination","Pagination",""
"888","","manage-module","Manage Module",""
"889","","patientFamily-add","Patient Family Add",""
"890","","agency","Agency",""
"891","","reason-for-edit","Reason for Edit",""
"892","","is-risk","Risky",""
"893","","Navs Component","Nav Component",""
"894","","contact_number","Phone",""
"895","","patientFamily-edit","Patient Family Edit",""
"896","","internal-comment","Internal Comment",""
"897","","document","Document",""
"898","","file-filter","File Filter",""
"899","","Navbar","Navbar",""
"900","","please-enter-valid-email","Please enter a valid email address",""
"901","","patientFamily-delete","Patient Family Delete",""
"902","","external-comment","External Comment",""
"903","","comments-and-replies","Comments and Replies",""
"904","","module-inactive-text","Please contact Admin to enable this module.",""
"905","","Tabs Component","Tabs Component",""
"906","","valid-password","Password must be 6 to 16 character, Please add at least one Capital letter, one Special character and one number",""
"907","","patientContactPersion-browse","Patient Contact Person Browse",""
"908","","other","Other",""
"909","","tap-to-reply","Tap to Reply",""
"910","","followup-details","Followup Details",""
"911","","Pills Component","Pills Component",""
"912","","call-company","Click here to call the company",""
"913","","patientContactPersion-read","Patient Contact Person Read",""
"914","","date-of-birth","Date of Birth",""
"915","","assignment_date","Assignment Date",""
"916","","urlmsg","URL Format Is Not Correct",""
"917","","Tooltips","Tooltips",""
"918","","send-email","Click here to send email",""
"919","","patientContactPersion-add","Patient Contact Person Add",""
"920","","add-person","Add Person",""
"921","","assignment_day","Assignment Day",""
"922","","action-date","Action Date",""
"923","","Popovers","Popovers",""
"924","","joining-date","Joining Date",""
"925","","patientContactPersion-edit","Patient Contact Person Edit",""
"926","","custom-unique-id","Unique ID",""
"927","","assign-by-user","Assign by User",""
"928","","data-is-not-available","Data Is Not Available",""
"929","","Badges","Badges",""
"930","","gov-id","Government Id",""
"931","","patientContactPersion-delete","Patient Contact Person Delete",""
"932","","hidden-patient","Secret Patient",""
"933","","activity-information","Activity Information",""
"934","","branch-id","Branch Id",""
"935","","Pill Badges","Pill Badges",""
"936","","country","Country",""
"937","","branch-browse","Branch Browse",""
"938","","save-create-ip","Save & Create IP",""
"939","","patient-information","Information",""
"940","","habitats","Livsområden",""
"941","","Progress","Progress",""
"942","","currency","Currency",""
"943","","branch-read","Branch Read",""
"944","","category","Category",""
"945","","classes-timing","Class Timing",""
"946","","choose-patient","Choose Patient",""
"947","","Media Objects","Media Objects",""
"948","","dial_code","Dial Code",""
"949","","branch-add","Branch Add",""
"950","","num-assgin-act-count","Activity",""
"951","","from","From",""
"952","","or","Or",""
"953","","Spinner","Spinner",""
"954","","currency_code","Currency Code",""
"955","","branch-edit","Branch Edit",""
"956","","assign-ip-count","IP",""
"957","","to","To",""
"958","","back","Back",""
"959","","Toasts","Toasts",""
"960","","currency_symbol","Currency Symbol",""
"961","","branch-delete","Branch Delete",""
"962","","assign-task-count","Task",""
"963","","unique-id","Unique Id",""
"964","","can-not-add-multiple-ip-message","Can Not Add Multiple Ip Message",""
"965","","timeline","Timeline",""
"966","","country-list","Country List",""
"967","","ipSelf-browse","Implementations Self Browse",""
"968","","is-sms-enable","Is SMS Enable",""
"969","","about","About",""
"970","","visible-creating-IP-msg","Only persons those were present at the time of creating Implementation Plan will be visible below",""
"971","","Extra Components","Extra Components",""
"972","","salary","Salary",""
"973","","ipSelf-read","Implementations Self Read",""
"974","","sms-tooltip","Please enter a valid number",""
"975","","agencies","Agencies",""
"976","","save-and-skip","Save & Skip",""
"977","","Avatar","Avatar",""
"978","","validity_in_days","Validity in days",""
"979","","ipSelf-add","Implementations Self Add",""
"980","","bankid_charges","BankID Charges",""
"981","","update","Update",""
"982","","ok","OK",""
"983","","Chips","Chips",""
"984","","number_of_patients","No of Patients",""
"985","","ipSelf-edit","Implementations Self Edit",""
"986","","task-filter","Tasks Filter",""
"987","","company","Company",""
"988","","patientAndhabitatsDetails","Patient And Livsområden Details",""
"989","","Divider","Divider",""
"990","","number_of_employees","No of employees",""
"991","","ipSelf-delete","Implementations Self Delete",""
"992","","is-enable-bankid","Is Enable BankID",""
"993","","institute","Institute",""
"994","","selected-sub-goal","Selected Sub Goal",""
"995","","Wizard","Wizard",""
"996","","entry_mode","Mode",""
"997","","ipPatients-browse","Implementation Patient Browse",""
"998","","bankid-charges","BankID Charges",""
"999","","timing","Timing",""
"1000","","new-question","New Question",""
"1001","","Forms & Tables","Forms & Tables",""
"1002","","is_on_offer","Apply Offer?",""
"1003","","ipPatients-Read","Implementation Patient Read",""
"1004","","sms-charges","SMS Charges",""
"1005","","years-old","Years Old",""
"1006","","question-required","Question Required",""
"1007","","Form Elements","Form Elements",""
"1008","","discount_type","Discount",""
"1009","","ipPatients-add","Implementation Patient Add",""
"1010","","package-filter","Packages Filter",""
"1011","","year-old","Year Old",""
"1012","","select-questions","Select Questions",""
"1013","","select","Select",""
"1014","","discount_value","Discount Value",""
"1015","","ipPatients-edit","Implementation Patient Edit",""
"1016","","company-filter","Company Filter",""
"1017","","months-old","Months Old",""
"1018","","followup-for","Follow up for",""
"1019","","Switch","Switch",""
"1020","","session-expired","Your session is expired, Please login to continue..",""
"1021","","ipPatients-delete","Implementation Patient Delete",""
"1022","","phone-number","Phone Number",""
"1023","","month-old","Month Old",""
"1024","","add-more-follow-up-dates","Add more follow up dates",""
"1025","","Checkbox","Checkbox",""
"1026","","login","Login",""
"1027","","ipEmployees-browse","Implementation Employee Browse",""
"1028","","mail-subject","Mail Subject",""
"1029","","days-old","Days Old",""
"1030","","journal-filter","Journal Filter",""
"1031","","Radio","Radio",""
"1032","","feedback","Feedback",""
"1033","","ipEmployees-read","Implementation Employee Read",""
"1034","","mail-body","Mail Body",""
"1035","","day-old","Day Old",""
"1036","","apply-filter","Apply Filter",""
"1037","","Input","Input",""
"1038","","reports","Reports",""
"1039","","ipEmployees-add","Implementation Employee Add",""
"1040","","sms-body","SMS Body",""
"1041","","secret-patient","Secret Patient",""
"1042","","reset","Reset",""
"1043","","log","Log",""
"1044","","file","File Upload Required?",""
"1045","","ipEmployees-edit","Implementation Employee Edit",""
"1046","","edit-emailTemplate","Edit Email Template",""
"1047","","info","Info",""
"1048","","old-description","Previous Description",""
"1049","","sms-log","Sms Log",""
"1050","","create-company","Create Company",""
"1051","","ipEmployees-delete","Implementation Employee Delete",""
"1052","","create-emailTemplate","Create Email Template",""
"1053","","relatives","Relatives",""
"1054","","add-journal","Add Journal",""
"1055","","bankID-log","BankID Log",""
"1056","","update-company","Update Company",""
"1057","","ipFollowUpsSelf-browse","Implements Followups Browse",""
"1058","","view-emailTemplate","View Email Template",""
"1059","","diseases","Diseases",""
"1060","","all-data","All Data",""
"1061","","subject-type","Subject Type",""
"1062","","company-details","Company Details",""
"1063","","ipFollowUpsSelf-read","Implements Followups Read",""
"1064","","mail-sms-for","Mail/SMS For",""
"1065","","work-study","Work/Study",""
"1066","","want-to-create-complete-deviation","Do you want to complete this deviation",""
"1067","","causer-type","Causer Type",""
"1068","","company-name","Company Name",""
"1069","","ipFollowUpsSelf-add","Implements Followups Add",""
"1070","","mail-for","Mail For",""
"1071","","decisions","Decisions",""
"1072","","want-to-create-sign-deviation","Do you want to sign this deviation",""
"1073","","subject-id","Subject Id",""
"1074","","establishment_date","Est. Year",""
"1075","","ipFollowUpsSelf-edit","Implements Followups Edit",""
"1076","","sms-for","SMS For",""
"1077","","patient-id","Patient Id",""
"1078","","add-deviation","Add Deviation",""
"1079","","Input Groups","Input Groups",""
"1080","","added-date","Added Date",""
"1081","","ipFollowUpsSelf-delete","Implements Followups Delete",""
"1082","","notify-body","Notify Body",""
"1083","","main-branch","Main Branch",""
"1084","","suggestion","Suggestion",""
"1085","","Number Input","Number Input",""
"1086","","discount_value_message","Discount value without % sign, 1 to 99.",""
"1087","","ipFollowUpsPatients-browse","Implements Followup Patients Browse",""
"1088","","custom-attributes","Custom Attributes",""
"1089","","ip-created","IP Created",""
"1090","","severity","Severity",""
"1091","","Textarea","Textarea",""
"1092","","discount_value_message_flat","Flat discount value",""
"1093","","ipFollowUpsPatients-read","Implements Followup Patients Read",""
"1094","","edit-smsTemplate","Edit SMS Template",""
"1095","","ip-not-created","IP Not Created",""
"1096","","further-investigation","Further Investigation",""
"1097","","Date & Time Picker","Date & Time Picker",""
"1098","","discount_value_feedback","Please add a valid discount value, discount value should be 1 to 99",""
"1099","","ipFollowUpsPatients-add","Implements Followup Patients Add",""
"1100","","create-smsTemplate","Create SMS Template",""
"1101","","incomplete-details","Incomplete Details",""
"1102","","schedule","Schedule",""
"1103","","Input Mask","Input Mask",""
"1104","","discount_value_feedback_flat","Please add a valid discount value, discount value should be lower than price",""
"1105","","ipFollowUpsPatients-edit","Implements Followup Patients Edit",""
"1106","","view-smsTemplate","View SMS Template",""
"1107","","patient-details","Patient Details",""
"1108","","add-contact-person","Add Contact Person",""
"1109","","Form Layout","Form Layout",""
"1110","","price_message","Price must be under {{length}} digit",""
"1111","","ipFollowUpsPatients-delete","Implements Followup Patients Delete",""
"1112","","is-guardian","Guardian",""
"1113","","updated-at","Updated At",""
"1114","","risk-description","Risk Description",""
"1115","","Form Wizard","Form Wizard",""
"1116","","price_feedback","Please enter a valid price, Price must be under {{length}} digit",""
"1117","","ipFollowUpsEmployees-browse","Implements Followup Employee Browse",""
"1118","","ip-modal","Implementation Plan",""
"1119","","overall-goal-detail","Overall Goal Details",""
"1120","","time-and-repetition","Time And Repetition",""
"1121","","React Hook Form","React Hook Form",""
"1122","","department","Department",""
"1123","","ipFollowUpsEmployees-read","Implements Followup Employee Read",""
"1124","","creating-plan-for","You are creating Implementation Plan for patient {{name}}",""
"1125","","approvals","Approvals",""
"1126","","word-listing","Word Listing",""
"1127","","Form Validation","Form Validation",""
"1128","","manage-permissions","Manage Permissions",""
"1129","","ipFollowUpsEmployees-add","Implements Followup Employee Add",""
"1130","","save-as-template","Save as template",""
"1131","","approved-by","Approved By",""
"1132","","read-more","Read More",""
"1133","","Pages","Pages",""
"1134","","total-permissions-assigned","This role has {{count}} permissions.",""
"1135","","ipFollowUpsEmployees-edit","Implements Followup Employee Edit",""
"1136","","ip-persons","Persons",""
"1137","","approved-date","Approved Date",""
"1138","","this-role-has","This role has",""
"1139","","edit-reason","Edit Reason",""
"1140","","total-packages-assigned","This package has {{count}} users.",""
"1141","","ipFollowUpsEmployees-delete","Implements Followup Employee Delete",""
"1142","","ip-persons-details","Enter Persons Details",""
"1143","","Implementations-details","Implementations Details",""
"1144","","new-password","New Password",""
"1145","","log-name","Log Name",""
"1146","","total-company-patients","This company has {{patients}} patients and {{employees}} employees.",""
"1147","","all-activity","All Activity",""
"1148","","select-patient","Select Patient",""
"1149","","establishment-year","Establishment Year",""
"1150","","submit","Submit",""
"1151","","activity-log","Activity Log",""
"1152","","role-name","Role Name",""
"1153","","se-name","Se Name",""
"1154","","enter-person-details","Enter Patient Details",""
"1155","","zip-code","Zip Code",""
"1156","","edit-profile","Edit Profile",""
"1157","","Authentication","Authentication",""
"1158","","add-role","Create Role",""
"1159","","group-name","Group Name",""
"1160","","enter-ip-details","Enter Ip Details",""
"1161","","branch-details","Branch Details",""
"1162","","get-otp","Get OTP",""
"1163","","Login v1","Login v1",""
"1164","","edit-role","Edit Role",""
"1165","","activity-link","Activity Link",""
"1166","","ip-detail","Ip Details",""
"1167","","contact-person","Contact Person",""
"1168","","enter-OTP","Enter OTP",""
"1169","","Login v2","Login v2",""
"1170","","reload-permissions","Reload Permission",""
"1171","","activity-details","Activity Details",""
"1172","","all-details-filled","All Details Filled",""
"1173","","plan","Plan",""
"1174","","mark-as-read-all","Mark {{count}} Notifications As Read",""
"1175","","Register v1","Register v1",""
"1176","","permission-required","Please select permissions, Can't create role without permissions",""
"1177","","add-activity","Add Activity",""
"1178","","partial-filled","Partial Filled",""
"1179","","deviation","Deviation",""
"1180","","reload","Reload",""
"1181","","Register v2","Register v2",""
"1182","","assign-permissions","Please assign permission to create the role, the users with this roles can access the related modules",""
"1183","","update-activity","Update Activity",""
"1184","","save-create-followup","Save & Create Followup",""
"1185","","journal","Journal",""
"1186","","import-language","Import Language",""
"1187","","Forgot Password v1","Forgot Password v1",""
"1188","","roles-description","A role provides access to predefined menus and features depending on the assigned role to an administrator that can have access to what he needs.",""
"1189","","full-address-details","Full Address Details",""
"1190","","upcoming-and-done","Upcoming And Done",""
"1191","","module-inactive","Module Inactive",""
"1192","","languages","Languages",""
"1193","","Forgot Password v2","Forgot Password v2",""
"1194","","user-management","User Management",""
"1195","","govt-id","Government Id",""
"1196","","pending-and-not-applicable","Pending",""
"1197","","ip-approved","Plan Approved",""
"1198","","language-name","Name",""
"1199","","Reset Password v1","Reset Password v1",""
"1200","","create-user","Create User",""
"1201","","patient-type","Patient Types",""
"1202","","select-category","Select Category",""
"1203","","ip-not-approved","Plan Not Approved Yet.",""
"1204","","language-short-name","Short Name",""
"1205","","Reset Password v2","Reset Password v2",""
"1206","","update-user","Update User",""
"1207","","patient_category","Patient Category",""
"1208","","select-category-details","Enter Category & Subcategory",""
"1209","","incomplete","Incomplete",""
"1210","","language-file","Language File",""
"1211","","Miscellaneous","Miscellaneous",""
"1212","","user-details","User Details",""
"1213","","new_employee_category","New Employee Category",""
"1214","","living-area","Livsområden",""
"1215","","complete","Complete",""
"1216","","docs","Docs",""
"1217","","Coming Soon","Coming Soon",""
"1218","","employees","Employees",""
"1219","","employee_category","Employee Category",""
"1220","","living-area-details","Enter Living Area (Livsområden) Details",""
"1221","","limitation","Limitation",""
"1222","","ip-menu","Plans",""
"1223","","Error","Error",""
"1224","","discount","Discount",""
"1225","","work-shift","Work Shift",""
"1226","","ip-present-participating","Present & Participant",""
"1227","","limitation-info","Limitation Info",""
"1228","","plans","Plans",""
"1229","","Not Authorized","Not Authorized",""
"1230","","flat-discount","Flat",""
"1231","","followup-filter","FollowUp Filter",""
"1232","","ip-present-participating-details","Who is Presented and Participating?",""
"1233","","goal-info","Goal Info",""
"1234","","task-menu","Task & Calender",""
"1235","","Maintenance","Maintenance",""
"1236","","discount-type","Discount Type",""
"1237","","activity-filter","Activity Filter",""
"1238","","ip-related-factors","Related Factors",""
"1239","","sub-goal-info","Sub Goal Info",""
"1240","","custom","Custom",""
"1241","","Extensions","Extensions",""
"1242","","percent-discount","Percentage",""
"1243","","dept-filter","Department Filter",""
"1244","","ip-related-factors-details","Enter Related Factors",""
"1245","","overall-goal-info","Overall Goal Info",""
"1246","","edit_package","Edit New Package",""
"1247","","profile","Profile",""
"1248","","price_after_discount","Price after discount",""
"1249","","branch-filter","Branch Filter",""
"1250","","ip-overall-goal","Overall Goal",""
"1251","","who-will-give-support","Who'll Give Support",""
"1252","","add_package","Add New Package",""
"1253","","Account Settings","Account Settings",""
"1254","","package-description","A Package provides access to Employees and Patients management for a Company with restricted environment.",""
"1255","","how-it-happened","How It Happened",""
"1256","","ip-overall-goal-details","Enter Customer's Goal",""
"1257","","how-will-support","How Support will be given",""
"1258","","flat_discount","Flat Discount",""
"1259","","FAQ","FAQ",""
"1260","","employee-desc","This employee has some limited access",""
"1261","","when-it-end","When It End",""
"1262","","you-can-select-or-add-patient","You can create new or select patient from dropdown",""
"1263","","working","Working",""
"1264","","add_price_first","Please add price first",""
"1265","","Knowledge Base","Knowledge Base",""
"1266","","patient-desc","Patient can share disease",""
"1267","","created-at","Created At",""
"1268","","save-create-task","Save & Create Task",""
"1269","","working-info","Working Information",""
"1270","","package_details","Package Details",""
"1271","","search","search",""
"1272","","branch-name","Branch Name",""
"1273","","is-family-member","Family Member",""
"1274","","save-create-activity","Save & Create Activity",""
"1275","","treatment-info","Treatment Information",""
"1276","","edit_package_details","Edit Package Details",""
"1277","","Invoice","Invoice",""
"1278","","sub-category","Sub Category",""
"1279","","is-caretaker","Caretaker",""
"1280","","save-and-create","Save And Create",""
"1281","","uploaded-files","Uploaded Files",""
"1282","","name_required","Please enter name",""
"1283","","Charts & Maps","Charts & Maps",""
"1284","","create-new-branch","Cerate New Branch",""
"1285","","is-contact-person","Contact Person",""
"1286","","select-category-and-subcategory","Select Category & Subcategory",""
"1287","","upload-your-files","Upload your files here.",""
"1288","","price_required","Please enter price",""
"1289","","Charts","Charts",""
"1290","","edit-branch","Update Branch",""
"1291","","name","Full Name",""
"1292","","select-category-and-subcategory-details","Please choose category and subcategory to start filling the details about the living plan",""
"1293","","please-be-careful","Please be careful",""
"1294","","type_of_discount_required","Type of discount required",""
"1295","","Apex","Apex",""
"1296","","branch","Branch",""
"1297","","contact-number","Phone",""
"1298","","ip-treatment-working","Working and Treatment",""
"1299","","this-activity-is-compulsory","This activity is compulsory",""
"1300","","discounted_price_required","Discounted price required",""
"1301","","ChartJS","ChartJS",""
"1302","","branch-desc","This branch is used to creating a user profile",""
"1303","","address","Address",""
"1304","","ip-treatment-working-details","Enter treatment and working details",""
"1305","","this-task-is-compulsory","This task is compulsory",""
"1306","","validity_in_days_required","Validity required",""
"1307","","Recharts","Recharts",""
"1308","","what-happened","What Happened",""
"1309","","subcategory","Subcategory",""
"1310","","select-template","Select Template",""
"1311","","view-ip","View IP Details",""
"1312","","number_of_patients_required","Number of patients required",""
"1313","","Leaflet Maps","Leaflet Maps",""
"1314","","how-happened","How Happened",""
"1315","","history","History",""
"1316","","add-patient","Add Patient",""
"1317","","view-comments","View Comments",""
"1318","","number_of_employees_required","Number of patients required",""
"1319","","Sweet Alert","Sweet Alert",""
"1320","","when-happened","When Happened",""
"1321","","assign-employee","Assign Employee",""
"1322","","save-patient","Save Patient",""
"1323","","add-tag","Add Tag",""
"1324","","flat_discount_required","Flat discount required",""
"1325","","Toastr","Toastr",""
"1326","","what-to-do","What To Do",""
"1327","","reason-for-editing","Edit Reason",""
"1328","","relative-caretaker","Relatives & Caretakers",""
"1329","","complete-activity","Complete Activity",""
"1330","","discounted_price_can_not_lesser","Price after discount can not be lesser than or equal to 0",""
"1331","","Sliders","Sliders",""
"1332","","goal","Goal",""
"1333","","click-for-sign","Click for sign",""
"1334","","relative-caretaker-details","Enter Persons Details",""
"1335","","select-witness","Select Witness",""
"1336","","package_saved_successfully","Package saved successfully",""
"1337","","File Uploader","File Uploader",""
"1338","","sub-goal","Sub Goal",""
"1339","","followup","Follow Up",""
"1340","","disability-details","Disability Details",""
"1341","","approve-ip","Approve IP",""
"1342","","package_edited_successfully","Package edited successfully",""
"1343","","Editor","Editor",""
"1344","","plan-start-date","Plan Start Date",""
"1345","","enter-details","Enter Details",""
"1346","","disability-details-details","Enter Disability Details",""
"1347","","no","No",""
"1348","","off","Off",""
"1349","","Drag & Drop","Drag & Drop",""
"1350","","plan-start-time","Plan Start Time",""
"1351","","persons","Persons",""
"1352","","studies-work","Studies & Work",""
"1353","","is-public","Is Public",""
"1354","","flat","Flat",""
"1355","","Tour","Tour",""
"1356","","remark","Remark",""
"1357","","add-persons","Add Persons (Optionals)",""
"1358","","studies-work-details","Enter Studies & Work Details",""
"1359","","trashed-activity","Trashed Activity",""
"1360","","bank_id","Bank ID",""
"1361","","Auto Complete","Auto Complete",""
"1362","","activity-message","Activity Message",""
"1363","","have-question","Add Questions",""
"1364","","other-activities","Other Activities",""
"1365","","all-trashed-activity","All Trashed Activity",""
"1366","","days_validity","Days Validity",""
"1367","","Clipboard","Clipboard",""
"1368","","company-dashboard","Company Dashboard",""
"1369","","questions","Questions",""
"1370","","other-activities-details","Enter Other Activities",""
"1371","","permanent-delete","Permanent Delete",""
"1372","","sms","SMS",""
"1373","","React Player","React Player",""
"1374","","admin-dashboard","Admin Dashboard",""
"1375","","preview-details","View Details",""
"1376","","decision","Decision",""
"1377","","restore-activity","Restore Activity",""
"1378","","disable","Disable",""
"1379","","Swiper","Swiper",""
"1380","","ip-details","Implementations Details",""
"1381","","review-submit-form","Review Details & Submit form",""
"1382","","decision-details","Enter About Decision",""
"1383","","file-title","File Title",""
"1384","","free","FREE",""
"1385","","Context Menu","Context Menu",""
"1386","","create-ip","Implementations Create",""
"1387","","select-ip","Select IP",""
"1388","","save-person","Save Person",""
"1389","","uploaded-by","Uploaded By",""
"1390","","this_package_has","This package has",""
"1391","","Tree","Tree",""
"1392","","update-ip","Implementations Update",""
"1393","","please-select-ip-plan","Please select IP Plan",""
"1394","","present-participated","Person Helped in creating IP?",""
"1395","","item-restore","Item Restored Successfully",""
"1396","","per","per",""
"1397","","I18n","I18n",""
"1398","","view-sub-categories","View Sub Categories",""
"1399","","please-select-branch","Please select Branch",""
"1400","","present-participated-details","Please Enter how Person is helped.",""
"1401","","restore","Restore",""
"1402","","React Paginate","React Paginate",""
"1403","","sub-categories","Sub Categories",""
"1404","","select-branch","Select Branch",""
"1405","","presented-only","Presented",""
"1406","","item-restore-failed","Item restore failed",""
"1407","","Export","Export",""
"1408","","manage-sub-categories","Manage Sub Categories",""
"1409","","employee-filter","Employee Filter",""
"1410","","participated","Participated",""
"1411","","restore-this-activity","Restore this Activity: {{name}}",""
"1412","","Import","Import",""
"1413","","postal-area","Postal Area",""
"1414","","patient-filter","Patient Filter",""
"1415","","how-participated","How Helped?",""
"1416","","restore-this","Restore this",""
